英文,中文,是否词根
care,关心,TRUE
secure,安全,TRUE
rescue,营救,FALSE
cise,切,TRUE
sect,切,TRUE
cut,切,FALSE
carve,砍,FALSE
curve,曲线,FALSE
curl,卷发,FALSE
star,星星,FALSE
stell,星星,TRUE
error,错误,FALSE
erroneous,错误的,FALSE
stellar,星的,TRUE
constellation,星座,FALSE
satellite,卫星,FALSE
aster,星星,TRUE
disaster,灾难,FALSE
disastrous,灾难的,FALSE
cluster,星团,FALSE
android,机器人,FALSE
anthropic,人类的,FALSE
asteroid,小行星,FALSE
astro,星空,TRUE
astrology,占星术,FALSE
astronomy,天文学,FALSE
harbor,港,FALSE
port,港口,TRUE
import,进口,TRUE
export,出口,TRUE
porter,搬运工,FALSE
portable,便携的,FALSE
report,报道,FALSE
reporter,记者,FALSE
tutor,教,TRUE
teacher,教师,FALSE
tut-,教,TRUE
in tuition,直觉,FALSE
inter-,中间,TRUE
internet,互联网,FALSE
interrupt,打搅,FALSE
rupt,破,TRUE
international,国际的,FALSE
interpersonal,人际的,FALSE
interstellar,星际,FALSE
intri-,内部,TRUE
intrinsic,本质的,FALSE
intricate,复杂的,FALSE
intersection,十字路口,FALSE
tend,伸向,TRUE
intend,想要,FALSE
intent,意图,FALSE
intensive,集中的,FALSE
intension,紧张,FALSE
pretend,装作,FALSE
tendency,倾向,FALSE
tentative,试探性的,FALSE
tender,嫩的,FALSE
canal,运河,FALSE
channel,海峡,FALSE
tunnel,隧道,FALSE
funnel,漏斗,FALSE
kennel,狗窝,FALSE
part,部分,TRUE
depart,离开,FALSE
separate,分开,TRUE
segregate,分离,TRUE
segment,片段,FALSE
divers,多样,TRUE
diverse,多样,FALSE
reverse,颠倒,TRUE
inverse,倒置,TRUE
aversion,厌恶,FALSE
adverse,相反的,FALSE
convert,皈依,TRUE
diverse,多样,TRUE
controversy,争议,FALSE
contro-,相对,TRUE
extra,外,TRUE
intra,内,TRUE
verse,转,TRUE
vert,转,TRUE
avert,转移,FALSE
convert,改变,TRUE
divert,转向,FALSE
invert,倒置,TRUE
vertical,垂直的,TRUE
horizontal,水平的,FALSE
diverse,多样,TRUE
reverse,颠倒,TRUE
versatile,多功能的,FALSE
version,版本,TRUE
venture,冒险,TRUE
tort,拧,TRUE
torn,转,TRUE
attorn,转让,FALSE
attorney,律师,FALSE
distort,扭曲,TRUE
retort,反驳,FALSE
torment,痛苦,FALSE
torture,拷打,FALSE
tortoise,乌龟,FALSE
turtle,海龟,FALSE
part,部分,TRUE
portion,一份,FALSE
proportion,比例,TRUE
proportional,成比例,TRUE
point,点,TRUE
appoint,任命,TRUE
disappoint,失望,FALSE
pin,大头针,FALSE
pinpoint,精确指出,FALSE
spot,斑点,FALSE